OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
38NPMPTW36,3.01399,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
4NA7Y494T4,9.21456,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
7NE97W5U4E,11.03148,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
BPH4J8HBKS,6.35942,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
CUZHX8X6JH,5.32118,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
HU7G6KETJZ,4.45598,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
R5XV2EPZQZ,3.59079,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
Z2E3P23VKM,7.6053,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
38NPMPTW36,0.23717,trn1.2xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
4NA7Y494T4,0.82681,trn1.2xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
7NE97W5U4E,0.99189,trn1.2xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
BPH4J8HBKS,0.51229,trn1.2xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
CUZHX8X6JH,0.47233,trn1.2xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
HU7G6KETJZ,0.39372,trn1.2xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
R5XV2EPZQZ,0.28488,trn1.2xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
Z2E3P23VKM,0.61533,trn1.2xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,8,32,Shared,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
38NPMPTW36,2.88399,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
4NA7Y494T4,9.08456,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
7NE97W5U4E,10.90148,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
BPH4J8HBKS,6.22942,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
CUZHX8X6JH,5.19118,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
HU7G6KETJZ,4.32598,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
R5XV2EPZQZ,3.46079,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
Z2E3P23VKM,7.4753,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
38NPMPTW36,3.79475,trn1.32xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
4NA7Y494T4,13.22895,trn1.32xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
7NE97W5U4E,15.87023,trn1.32xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
BPH4J8HBKS,8.19666,trn1.32xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
CUZHX8X6JH,7.55725,trn1.32xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
HU7G6KETJZ,6.2995,trn1.32xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
R5XV2EPZQZ,4.558,trn1.32xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
Z2E3P23VKM,9.84528,trn1.32xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,128,12,Shared,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
38NPMPTW36,2.75181,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
4NA7Y494T4,8.3887,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
7NE97W5U4E,10.04043,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
BPH4J8HBKS,5.79311,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
CUZHX8X6JH,4.84925,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
HU7G6KETJZ,4.06271,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
R5XV2EPZQZ,3.27617,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
Z2E3P23VKM,6.92573,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
38NPMPTW36,0.26089,trn1.2xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
4NA7Y494T4,0.90949,trn1.2xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
7NE97W5U4E,1.09108,trn1.2xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
BPH4J8HBKS,0.56352,trn1.2xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
CUZHX8X6JH,0.51956,trn1.2xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
HU7G6KETJZ,0.43309,trn1.2xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
R5XV2EPZQZ,0.31336,trn1.2xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
Z2E3P23VKM,0.67686,trn1.2xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,8,32,Dedicated,Linux,2022,12500.0,2022-10-01,NVMe SSD,475
38NPMPTW36,4.17423,trn1.32xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
4NA7Y494T4,14.55185,trn1.32xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
7NE97W5U4E,17.45725,trn1.32xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
BPH4J8HBKS,9.01633,trn1.32xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
CUZHX8X6JH,8.31298,trn1.32xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
HU7G6KETJZ,6.92945,trn1.32xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
R5XV2EPZQZ,5.0138,trn1.32xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
Z2E3P23VKM,10.82981,trn1.32xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,128,12,Dedicated,Linux,2022,800.0,2022-10-01,NVMe SSD,7600
38NPMPTW36,2.75181,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
4NA7Y494T4,8.3887,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
7NE97W5U4E,10.04043,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
BPH4J8HBKS,5.79311,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
CUZHX8X6JH,4.84925,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
HU7G6KETJZ,4.06271,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
R5XV2EPZQZ,3.27617,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
Z2E3P23VKM,6.92573,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,96,768,Shared,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
38NPMPTW36,2.88399,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
4NA7Y494T4,9.08456,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
7NE97W5U4E,10.90148,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
BPH4J8HBKS,6.22942,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
CUZHX8X6JH,5.19118,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
HU7G6KETJZ,4.32598,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
R5XV2EPZQZ,3.46079,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
Z2E3P23VKM,7.4753,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,convertible,US,96,768,Dedicated,Linux,2021,400.0,2021-09-01,NVMe SSD,4000
38NPMPTW36,3.01399,dl1.24xlarge,Machine Learning ASIC Instances,3,Partial Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
4NA7Y494T4,9.21456,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
7NE97W5U4E,11.03148,dl1.24xlarge,Machine Learning ASIC Instances,1,No Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
BPH4J8HBKS,6.35942,dl1.24xlarge,Machine Learning ASIC Instances,3,No Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
CUZHX8X6JH,5.32118,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,convertible,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
HU7G6KETJZ,4.45598,dl1.24xlarge,Machine Learning ASIC Instances,1,Partial Upfront,standard,US,96,768,Dedicated,Linux,2022,400.0,2022-03-01,NVMe SSD,4000
